block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,percent_staked,atom_staked_v,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,inflation_rate,total_supply,n_validators,timestamp,sign_ratio,total_block_fees
12689907,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.676665131328000000,167483.304767934059356246,0.130667038322830074,314518686718507,175,2022-11-02T16:36:51.531965286Z,1.0,14296.0
12689908,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.716721750923000000,167744.585389589309133839,0.130667048211678283,314518696144476,175,2022-11-02T16:36:58.223720968Z,1.0,11313.0
12689909,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.756765717393000000,168005.783477661411665249,0.130667058100495827,314518705570446,175,2022-11-02T16:37:04.983736294Z,1.0,0.0
12689910,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.796761682377000000,168266.668462478555457103,0.130667067989319948,314518714996417,175,2022-11-02T16:37:11.330924784Z,1.0,16016.0
12689911,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.836825603412000000,168527.996709841113342541,0.130667077878143278,314518724422389,175,2022-11-02T16:37:17.674696206Z,1.0,5446.0
12689912,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.916867006552000000,169050.089382216556012173,0.130667097655803819,314518743274336,175,2022-11-02T16:37:24.348391439Z,1.0,6212.0
12689913,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.916867006552000000,169050.089382216556012173,0.130667097655803819,314518743274336,175,2022-11-02T16:37:31.124225640Z,1.0,0.0
12689914,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.956862979781000000,169310.974420815343007020,0.130667107544643956,314518752700311,175,2022-11-02T16:37:37.394533327Z,1.0,22960.0
12689915,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,25.996956380347000000,169572.494956750666973875,0.130667117433483313,314518762126287,175,2022-11-02T16:37:48.917561786Z,1.0,0.0
12689916,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.036952362063000000,169833.380050703953906614,0.130667127322329247,314518771552264,175,2022-11-02T16:37:55.666049653Z,1.0,32002.0
12689917,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.117120740828000000,170356.300957479282456382,0.130667147100039601,314518790404221,175,2022-11-02T16:38:02.083383093Z,1.0,9572.0
12689919,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.197174117066000000,170878.471727774743654229,0.130667166877776265,314518809256182,175,2022-11-02T16:38:19.971410051Z,1.0,7900.0
12689921,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.237221091762000000,171139.689437849982123482,0.130667176766654463,314518818682164,175,2022-11-02T16:38:32.709792875Z,1.0,0.0
12689922,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.317383351881000000,171662.570434032240949548,0.130667196544428019,314518837534131,175,2022-11-02T16:38:39.045289864Z,1.0,22010.0
12689924,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.397482935403000000,172185.042604387222292643,0.130667216322227046,314518856386102,175,2022-11-02T16:38:52.090065119Z,1.0,15406.0
12689925,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.437492400114000000,172446.015644992748721886,0.130667226211136425,314518865812089,175,2022-11-02T16:38:58.298658046Z,1.0,3168.0
12689927,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.517550510932000000,172968.217297918607747611,0.130667245988969974,314518884664066,175,2022-11-02T16:39:11.468618569Z,1.0,10607.0
12689929,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.557643480950000000,173229.735025482269947004,0.130667255877874840,314518894090056,175,2022-11-02T16:39:24.500844666Z,1.0,0.0
12689930,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.637665494238000000,173751.701222070143129372,0.130667275655704304,314518912942039,175,2022-11-02T16:39:30.778341232Z,1.0,7055.0
12689932,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.677682384367000000,174012.722697059633444237,0.130667285544628902,314518922368032,175,2022-11-02T16:39:43.802529371Z,1.0,0.0
12689933,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.757841168280000000,174535.581018697345699900,0.130667305322497830,314518941220021,175,2022-11-02T16:39:50.308135323Z,1.0,0.0
